Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Gradient Boosting,0.9114906832298136,0.7225806451612903,0.6120218579234973,0.6627218934911243,0.9376826644907649
Random Forest,0.90527950310559,0.7194244604316546,0.546448087431694,0.6211180124223602,0.9310980886680018
Logistic Regression,0.8975155279503105,0.6861313868613139,0.5136612021857924,0.5875,0.9252182083426055
